Competition;Home;Away;Date;Time;HGFT;AGFT;HG1st;AG1st;HG2nd;AG2nd;HGET;AGET;HGP;HGP;Finished;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;HxG;AxG;bet365-H;bet365-D;bet365-A;Betfair_Exch-H;Betfair_Exch-D;Betfair_Exch-A;H-Max;D-Max;A-Max;H-Avg;D-Avg;A-Avg
World Cup 2026;Scotland;Morocco;19.06.2026;23:00;0;1;0;1;0;0;;;;;90 minutes;6;12;0;2;11;8;2;5;1;1;0;0;0,52;1;5,25;3,75;1,67;6,2;3,8;1,72;5,8;3,8;1,72;5,42;3,61;1,67
World Cup 2026;Brazil;Haiti;20.06.2026;01:30;3;0;3;0;0;0;;;;;90 minutes;8;7;5;3;13;14;4;4;1;3;0;0;1,75;0,23;1,1;11;21;1,13;12,5;22;1,11;11,5;27;1,09;10,41;22,75
World Cup 2026;Turkey;Paraguay;20.06.2026;04:00;0;1;0;1;0;0;;;;;90 minutes;32;7;5;2;14;15;12;0;1;1;0;1;2,17;0,33;2,1;3,3;3,6;2,14;3,4;4;2,1;3,45;4;2,02;3,32;3,72
World Cup 2026;Netherlands;Sweden;20.06.2026;18:00;5;1;2;0;3;1;;;;;90 minutes;10;16;7;8;9;12;2;5;0;3;0;0;2,6;1,01;1,7;4;4,75;1,76;4,1;5,2;1,71;4,1;5;1,68;3,96;4,68
World Cup 2026;Germany;Ivory Coast;20.06.2026;21:00;2;1;0;1;2;0;;;;;90 minutes;16;9;7;2;5;7;8;3;0;0;0;0;1,89;1,22;1,44;4,75;6,5;1,49;5;7,6;1,53;4,8;7,1;1,46;4,65;6,3
World Cup 2026;Ecuador;Curacao;21.06.2026;01:00;0;0;0;0;0;0;;;;;90 minutes;27;10;15;3;7;10;9;0;1;5;0;0;2,84;0,5;1,14;9;15;1,18;10;18;1,17;9,5;20;1,15;8,15;16,47
World Cup 2026;Tunisia;Japan;21.06.2026;05:00;0;4;0;2;0;2;;;;;90 minutes;2;11;0;5;8;15;3;5;0;0;0;0;0,04;2,13;8,5;4,5;1,4;9,2;4,5;1,48;8,5;4,6;1,48;7,69;4,3;1,43
World Cup 2026;Spain;Saudi Arabia;21.06.2026;17:00;4;0;3;0;1;0;;;;;90 minutes;22;3;8;1;10;2;6;1;0;2;0;0;2,3;0,13;1,1;11;21;1,12;13;28;1,11;13;27;1,09;10,69;22,81
World Cup 2026;Belgium;Iran;21.06.2026;20:00;0;0;0;0;0;0;;;;;90 minutes;23;7;7;3;7;9;4;2;1;1;1;0;1,79;0,62;1,42;4,5;8;1,45;4,8;9,8;1,44;4,8;8,5;1,4;4,53;7,87
World Cup 2026;Uruguay;Cape Verde;21.06.2026;23:00;2;2;2;1;0;1;;;;;90 minutes;17;12;2;4;11;4;11;4;2;2;0;0;2,31;0,88;1,38;4,75;8,5;1,41;4,9;11;1,41;5;10;1,37;4,5;9,1
