Competition;Home;Away;Date;Time;HGFT;AGFT;HG1st;AG1st;HG2nd;AG2nd;HGET;AGET;HGP;HGP;Finished;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;bet365-H;bet365-D;bet365-A;Betfair_Exch-H;Betfair_Exch-D;Betfair_Exch-A;H-Max;D-Max;A-Max;H-Avg;D-Avg;A-Avg
World Cup 2022;Saudi Arabia;Mexico;30.11.2022;19:00;1;2;0;0;1;2;;;;;90 minutes;10;25;2;10;20;18;1;8;6;1;0;0;5,5;4,2;1,57;5,6;4,4;1,67;5,75;4,35;1,62;5,4;4,13;1,6
World Cup 2022;Australia;Denmark;30.11.2022;15:00;1;0;0;0;1;0;;;;;90 minutes;8;14;4;3;11;10;2;6;2;1;0;0;7;5;1,4;7,8;5,1;1,47;8;5;1,44;7,65;4,66;1,4
World Cup 2022;Tunisia;France;30.11.2022;15:00;1;0;0;0;1;0;;;;;90 minutes;5;9;3;3;14;6;7;8;1;0;0;0;5,75;3,8;1,61;6,6;4,1;1,65;6;4;1,64;5,84;3,81;1,61
World Cup 2022;Iran;USA;29.11.2022;19:00;0;1;0;1;0;0;;;;;90 minutes;6;12;2;5;13;10;1;5;3;1;0;0;4,2;3,4;1,9;4,6;3,6;1,97;4,25;3,5;2;4,03;3,45;1,93
World Cup 2022;Wales;England;29.11.2022;19:00;0;3;0;0;0;3;;;;;90 minutes;7;17;1;7;16;9;1;6;2;0;0;0;8,5;4,2;1,44;9,8;4,6;1,45;9,5;4,5;1,44;8,45;4,35;1,41
World Cup 2022;Ecuador;Senegal;29.11.2022;15:00;1;2;0;1;1;1;;;;;90 minutes;8;15;4;5;23;11;3;6;0;1;0;0;2,45;3;3,25;2,54;3,15;3,4;2,5;3,1;3,3;2,44;3,01;3,18
World Cup 2022;Netherlands;Qatar;29.11.2022;15:00;2;0;1;0;1;0;;;;;90 minutes;13;6;4;4;19;9;4;2;1;0;0;0;1,18;7;15;1,21;7,8;19,5;1,21;7,25;17;1,19;6,81;14,61
World Cup 2022;Portugal;Uruguay;28.11.2022;19:00;2;0;0;0;2;0;;;;;90 minutes;15;10;4;3;10;16;6;2;3;2;0;0;1,9;3,3;4,5;1,98;3,5;4,7;1,95;3,4;4,6;1,92;3,29;4,34
World Cup 2022;Brazil;Switzerland;28.11.2022;16:00;1;0;0;0;1;0;;;;;90 minutes;9;4;5;0;10;17;8;3;1;1;0;0;1,5;4,2;7,5;1,5;4,4;9;1,5;4,35;8,5;1,47;4,19;7,4
World Cup 2022;South Korea;Ghana;28.11.2022;13:00;2;3;0;2;2;1;;;;;90 minutes;21;8;6;3;13;9;12;5;2;2;0;0;2,75;3,1;2,75;2,84;3,2;2,94;2,75;3,2;2,88;2,7;3,07;2,79
World Cup 2022;Cameroon;Serbia;28.11.2022;10:00;3;3;1;2;2;1;;;;;90 minutes;13;16;8;6;8;13;4;3;2;2;0;0;5;3,8;1,7;5,7;3,95;1,73;5,6;3,8;1,71;5,17;3,73;1,69
World Cup 2022;Spain;Germany;27.11.2022;19:00;1;1;0;0;1;1;;;;;90 minutes;7;10;3;4;13;11;6;5;1;3;0;0;2,5;3,5;2,75;2,62;3,5;2,98;2,6;3,5;2,88;2,5;3,38;2,79
World Cup 2022;Croatia;Canada;27.11.2022;16:00;4;1;2;1;2;0;;;;;90 minutes;13;9;10;2;13;5;5;2;2;2;0;0;2,25;3,25;3,5;2,32;3,35;3,6;2,25;3,3;3,65;2,2;3,23;3,47
World Cup 2022;Belgium;Morocco;27.11.2022;13:00;0;2;0;0;0;2;;;;;90 minutes;10;11;4;4;10;14;9;1;1;1;0;0;1,9;3,5;4,2;1,97;3,45;4,8;1,95;3,5;4,75;1,88;3,35;4,41
World Cup 2022;Japan;Costa Rica;27.11.2022;10:00;0;1;0;0;0;1;;;;;90 minutes;14;4;3;1;22;9;5;0;3;3;0;0;1,45;4,33;7,5;1,52;4,5;8,2;1,51;4,33;7,75;1,47;4,15;7,36
World Cup 2022;Argentina;Mexico;26.11.2022;19:00;2;0;0;0;2;0;;;;;90 minutes;5;4;2;1;15;19;4;2;1;4;0;0;1,55;3,8;7;1,58;4,1;7,6;1,58;4,1;8;1,52;3,89;7,1
World Cup 2022;France;Denmark;26.11.2022;16:00;2;1;0;0;2;1;;;;;90 minutes;21;10;6;2;4;9;6;4;1;2;0;0;1,8;3,6;4,5;1,86;3,65;5,1;1,86;3,6;4,8;1,81;3,47;4,67
World Cup 2022;Poland;Saudi Arabia;26.11.2022;13:00;2;0;1;0;1;0;;;;;90 minutes;8;16;3;5;18;15;4;5;3;2;0;0;1,7;3,6;5,25;1,75;3,75;6;1,74;3,65;6;1,7;3,54;5,45
World Cup 2022;Tunisia;Australia;26.11.2022;10:00;0;1;0;1;0;0;;;;;90 minutes;13;8;4;2;16;15;5;2;3;0;0;0;2,15;3,3;3,6;2,26;3,55;3,55;2,2;3,4;3,65;2,16;3,27;3,51
World Cup 2022;England;USA;25.11.2022;19:00;0;0;0;0;0;0;;;;;90 minutes;8;10;3;2;9;15;3;7;0;0;0;0;1,45;4,2;8;1,5;4,4;9;1,5;4,33;8,5;1,46;4,14;7,69
World Cup 2022;Netherlands;Ecuador;25.11.2022;16:00;1;1;1;0;0;1;;;;;90 minutes;2;13;1;5;15;12;2;5;0;1;0;0;1,85;3,3;4,75;1,91;3,5;5,1;1,86;3,5;5,1;1,83;3,36;4,75
World Cup 2022;Qatar;Senegal;25.11.2022;13:00;1;3;0;1;1;2;;;;;90 minutes;10;12;2;4;7;12;6;7;3;3;0;0;5,25;3,6;1,7;5,9;3,7;1,77;6,25;3,65;1,74;5,44;3,55;1,7
World Cup 2022;Wales;Iran;25.11.2022;10:00;0;2;0;0;0;2;;;;;90 minutes;10;21;3;6;9;10;2;7;1;2;1;0;2,1;3,2;3,8;2,22;3,25;4;2,2;3,2;4;2,11;3,16;3,76
World Cup 2022;Brazil;Serbia;24.11.2022;19:00;2;0;0;0;2;0;;;;;90 minutes;24;4;10;0;7;12;6;4;0;3;0;0;1,44;4,33;7;1,52;4,7;7,2;1,48;4,6;7,5;1,44;4,46;7,08
World Cup 2022;Portugal;Ghana;24.11.2022;16:00;3;2;0;0;3;2;;;;;90 minutes;11;8;5;3;14;19;3;3;2;4;0;0;1,28;5,25;10;1,34;5,8;11,5;1,33;5,75;11;1,29;5,38;10,4
World Cup 2022;Uruguay;South Korea;24.11.2022;13:00;0;0;0;0;0;0;;;;;Penalties;10;6;0;0;7;10;4;3;1;1;0;0;1,75;3,5;5;1,83;3,65;5,5;1,8;3,55;5,2;1,77;3,46;4,94
World Cup 2022;Switzerland;Cameroon;24.11.2022;10:00;1;0;0;0;1;0;;;;;Penalties;8;7;3;3;12;10;11;5;2;1;0;0;1,72;3,4;5,5;1,84;3,6;5,3;1,83;3,45;5,5;1,8;3,37;4,95
World Cup 2022;Belgium;Canada;23.11.2022;19:00;1;0;1;0;0;0;;;;;90 minutes;9;21;3;4;11;14;4;4;3;2;0;0;1,6;4;5,75;1,64;4,3;6;1,6;4,33;6;1,57;4,16;5,74
